,Row.names,Normal1,Normal2,Normal3,NPC1,NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,NPC8,NPC9,NPC10,NPC11,NPC12,NPC13,NPC14,NPC15,NPC16,NPC17,NPC18,NPC19,NPC20,NPC21,NPC22,NPC23,NPC24,NPC25,array_ID,Gene_symbol,gene_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol,mouse_symbol
1,A1CF,42.668,145.768,57.8067,61.7481,66.626,64.2189,52.9338,63.5299,54.4841,49.6683,56.6302,62.9527,61.9497,72.1754,56.1758,61.8681,90.8756,66.0491,111.601,92.4571,57.7655,62.0013,64.2154,76.8641,88.2717,109.738,115.583,96.8344,220951_s_at,A1CF,29974,-9.392212,73.69499643,-0.639215355,0.528093163,0.915661757,-4.654195375,A1CF,A1cf
2,A2M,698.843,827.662,322.323,289.025,772.059,204.008,560.409,556.365,266.579,218.498,772.667,869.226,490.16,157.124,540.298,1372.16,349.602,180.856,296.332,429.688,938.121,419.851,558.762,313.14,411.428,659.284,116.788,157.756,217757_at,A2M,2,-140.26856,491.0362143,-0.79069041,0.436045895,0.891610951,-4.635357122,A2M,A2m
3,A4GALT,26.077,28.3863,19.97,16.3626,28.3046,40.2686,17.4832,52.0817,37.1456,15.2201,40.7453,30.3878,24.4104,47.9569,29.9398,22.5215,30.416,22.9642,28.1494,28.3229,32.9928,19.8022,35.4119,21.5567,34.6627,23.7203,12.7485,9.4784,219488_at,A4GALT,53947,3.311064,27.76740714,0.520661607,0.606865329,0.932139651,-4.666297591,A4GALT,A4galt
4,A4GNT,27.9557,73.7145,13.25,46.3565,139.078,32.0444,47.2172,54.7952,48.3082,43.589,30.9906,22.0533,103.261,36.1683,20.5875,14.8191,39.2414,38.6525,51.6039,52.8658,26.1035,40.0235,30.9784,16.7086,49.1207,11.8632,26.7607,22.4745,221131_at,A4GNT,51146,3.519866667,41.44947143,0.209802733,0.835403762,0.973489998,-4.686529539,A4GNT,A4gnt
5,AAAS,65.3823,69.1155,47.744,44.3177,94.2096,71.0911,65.8097,48.8897,33.363,64.9425,82.0095,62.6935,37.2502,67.7001,92.2582,62.2235,50.8516,65.094,58.3948,8.52745,13.4317,46.9789,54.6645,32.8547,74.2277,44.4042,33.2545,71.6504,218075_at,AAAS,8086,-5.503556667,55.83337679,-0.433948466,0.667789146,0.94161698,-4.67363708,AAAS,Aaas
6,AACS,115.135,273.581,101.018,144.24,103.015,126.02,97.5795,243.696,68.9712,202.008,119.348,127.969,124.96,301.494,235.107,256.912,153.817,162.226,224.144,58.4389,158.897,203.021,106.59,75.3473,115.139,87.0321,101.178,52.372,218434_s_at,AACS,65985,-17.26378667,147.8305714,-0.411192445,0.68419148,0.94525505,-4.675348176,AACS,Aacs
7,AADAC,27.2442,56.0597,5.45483,5.66925,21.3268,23.4432,4.53353,6.43516,3.64307,17.2516,11.7815,48.2857,6.49575,71.9314,8.68709,7.97763,63.1534,6.32839,4.75595,10.1546,64.4615,23.0284,130.75,10.9097,20.8703,7.62116,39.5539,23.0024,205969_at,AADAC,13,-3.904188133,26.10036107,-0.219127468,0.828206187,0.972613272,-4.686170475,AADAC,Aadac
8,AAGAB,69.2681,34.4015,172.077,76.3298,115.825,94.9151,69.3335,84.6939,51.8211,94.6679,81.4738,114.043,87.5277,103.283,67.3189,100.629,97.6176,97.889,90.5822,103.658,116.459,111.226,59.1854,67.4641,101.751,104.196,131.629,81.1118,202852_s_at,AAGAB,79719,0.269698667,92.15633571,0.016326595,0.987094426,0.997771239,-4.690463563,AAGAB,Aagab
9,AAK1,206.714,80.6752,531.288,165.692,137.549,136.262,189.664,180.403,227.269,106.096,242.407,159.232,91.5462,125.512,203.982,321.627,244.554,137.969,136.076,210.486,207.754,181.282,161.449,251.133,163.022,134.44,125.137,136.229,205434_s_at,AAK1,22848,-97.821512,185.5517643,-1.970765378,0.059129492,0.572080022,-4.381481696,AAK1,Aak1
10,AAMDC,37.2766,139.606,39.4201,39.0638,52.1241,49.641,48.5238,57.8567,49.7962,50.244,48.5639,50.8331,39.6361,55.3402,58.4655,49.0819,71.0229,101.406,67.4402,86.5249,56.7497,55.7038,41.1809,61.2538,124.497,47.4655,70.0265,44.0133,221600_s_at,AAMDC,28971,-13.042708,60.455625,-0.865146449,0.394614424,0.878946465,-4.624755012,AAMDC,Aamdc
11,AAMP,124.08,130.47,202.194,125.721,114.11,152.888,144.528,162.326,101.485,131.261,135.929,130.71,120.098,151.782,110.926,120.632,162.493,200.692,240.684,221.814,118.455,165.889,114.864,108.982,147.383,132.415,133.042,167.994,201511_at,AAMP,14,-7.56388,145.4945357,-0.352967569,0.726865796,0.953529133,-4.679315309,AAMP,Aamp
12,AANAT,0.824872,3.02409,2.39458,1.8751,1.87701,2.31605,1.06492,2.17678,1.78585,1.34859,2.66784,1.05481,1.03259,2.7767,1.96326,1.4513,3.99056,2.9315,2.57287,5.83944,2.55336,1.599,0.820288,2.35977,2.17276,1.76324,2.5088,1.98739,207225_at,AANAT,15,0.098410453,2.169047143,0.057892862,0.95426221,0.994065247,-4.690185777,AANAT,Aanat
13,AAR2,142.395,139.651,148.706,139.947,161.954,155.548,127.882,136.213,92.5738,145.103,133.844,146.116,127.978,135.156,144.785,158.745,157.718,175.471,156.277,124.603,131.397,119.141,155.775,161.177,148.012,117.671,143.602,132.841,218089_at,AAR2,25980,-2.402808,141.4386357,-0.229780532,0.820001952,0.971638286,-4.685741283,AAR2,Aar2
14,AARS,292.35,424.127,323.745,461.367,493.859,226.629,269.335,400.862,283.009,269.22,395.103,397.747,572.466,323.041,444.242,408.247,349.378,274.765,475.804,256.517,338.864,283.002,334.885,288.256,400.499,395.661,510.292,429.994,201000_at,AARS,16,24.58109333,368.6880714,0.456095843,0.651984833,0.940593632,-4.671885574,AARS,Aars
15,AASDHPPT,200.42,167.095,169.208,108.798,170.277,162.219,249.079,162.115,87.2661,188.328,204.062,158.601,204.79,218.217,190.721,210.337,280.276,166.932,251.51,238.294,256.699,210.644,175.901,233.882,116.412,170.189,160.714,194.431,202169_s_at,AASDHPPT,60496,11.92009733,189.5506107,0.433124544,0.668380167,0.94161698,-4.673700602,AASDHPPT,Aasdhppt
16,AASS,14.8015,17.7516,17.7029,0.755953,17.9461,12.6015,8.2514,4.93397,4.53185,24.2889,30.7074,16.9924,1.09395,20.4836,19.8853,8.50132,6.60406,2.03474,3.20439,1.32149,18.4638,26.5198,4.25062,93.8415,1.11418,20.6899,31.5285,13.2899,214829_at,AASS,10157,-0.99853908,15.86044725,-0.090250922,0.92875699,0.991970587,-4.689754256,AASS,Aass
17,AATF,144.501,128.268,210.731,164.309,179.195,148.894,150.149,133.686,158.788,208.365,171.94,163.44,196.217,227.078,139.68,266.824,293.426,174.032,154.968,461.224,112.57,119.446,123.928,220.564,204.155,148.16,188.766,154.194,209165_at,AATF,26574,25.39325333,183.8392143,0.601389585,0.552619196,0.92115055,-4.658312906,AATF,Aatf
18,AATK,38.3448,80.4656,37.7386,43.2384,38.8801,42.7237,35.0564,52.7842,78.3756,39.3834,42.0373,54.6365,45.9392,37.9987,10.9015,82.3655,21.0475,41.548,23.1746,96.4851,8.94292,48.484,55.3835,59.8682,46.6613,12.7001,15.2106,60.6826,205986_at,AATK,9625,-8.4026432,44.68064,-0.626857023,0.536041391,0.917533167,-4.65556682,AATK,Aatk
19,ABAT,21.7233,75.6378,47.8312,35.9666,57.8637,43.7031,25.9664,24.6912,39.1016,33.6897,50.8225,12.8453,35.1962,47.5034,47.7386,51.3897,73.5121,28.2564,41.4495,45.6961,63.0111,35.2009,28.0495,33.7472,6.71259,46.0911,31.3308,36.9231,206527_at,ABAT,18,-9.339097733,40.05895321,-0.959894555,0.345663856,0.856794511,-4.610029835,ABAT,Abat
20,ABCA1,113.639,27.9451,61.0451,158.566,84.5876,98.726,123.75,242.189,205.015,92.6058,121.785,127.661,101.939,433.209,174.309,90.0031,100.13,72.0738,110.01,395.422,108.513,102.134,249.605,132.481,109.418,583.511,47.321,100.365,203505_at,ABCA1,19,99.07010533,155.9985179,1.338006161,0.192104679,0.763986428,-4.538508323,ABCA1,Abca1
21,ABCA11P,42.1382,56.3733,35.4651,49.404,45.7699,30.0479,37.1452,30.2947,9.71089,29.2514,37.8996,33.3905,20.3829,41.4926,30.0894,38.0632,25.7593,30.3702,22.0402,38.5428,47.343,42.3569,30.3757,37.09,30.4165,4.17754,51.4893,35.627,220159_at,ABCA11P,79963,-11.51764147,34.37525821,-1.668310916,0.106863481,0.662210235,-4.461489645,ABCA11P,NA
22,ABCA12,12.8161,2.00049,8.16551,11.7118,9.7634,11.9226,5.8601,80.5995,6.67844,79.2017,9.73331,25.3626,0.79901,114.22,7.64247,15.762,21.3166,24.6657,22.0068,11.3485,9.89643,35.0311,6.29812,34.1917,36.2038,38.6947,137.609,14.6841,215465_at,ABCA12,26154,23.1874392,28.36377071,1.137224443,0.265480973,0.809585044,-4.578923014,ABCA12,Abca12
23,ABCA2,53.6237,61.8698,76.1045,126.962,81.8107,42.4315,44.9964,50.9714,79.6348,46.5877,120.524,59.0535,42.881,73.4918,101.307,103.794,54.5116,112.728,48.9996,71.9277,52.058,58.9239,51.0767,55.5625,81.463,49.7408,54.0326,94.99,212772_s_at,ABCA2,20,6.552408,69.71636429,0.430348659,0.67037298,0.94161698,-4.673913746,ABCA2,Abca2
24,ABCA3,17.5868,62.4107,31.4044,495.084,33.7489,32.5482,30.124,49.6739,61.9404,231.54,65.8337,54.9868,60.3698,24.8159,97.1653,149.231,70.4068,266.948,189.295,257.987,35.8964,49.4223,94.911,48.3161,112.195,128.538,250.057,307.159,204343_at,ABCA3,21,90.79377333,118.1998357,1.355092181,0.186667756,0.757303044,-4.534831365,ABCA3,Abca3
25,ABCA4,6.15392,13.4612,13.3385,5.7682,2.97452,7.43603,3.19696,5.73171,5.73731,15.9636,9.40393,22.5045,10.7574,6.74947,4.78997,4.25128,17.2326,7.107,23.142,17.9626,7.87736,4.1827,7.45592,8.06071,5.40931,17.1234,11.1517,24.4141,210082_at,ABCA4,24,-0.7291688,10.33349643,-0.17436156,0.862887961,0.979449986,-4.687752558,ABCA4,Abca4
26,ABCA5,104.693,75.6247,52.2269,58.9043,34.6378,34.9044,52.0003,107.203,29.6195,58.769,114.292,69.5967,24.582,190.05,105.641,69.9884,52.9484,39.4123,68.4581,49.0791,144.891,81.0023,54.1379,61.5337,37.8936,35.5635,106.951,33.7676,213353_at,ABCA5,23461,-8.881790667,69.58469643,-0.377263573,0.708940074,0.948650015,-4.677731978,ABCA5,Abca5
27,ABCA6,31.9034,6.98821,9.29701,16.4311,6.31842,6.72524,28.2162,1.51973,4.59594,12.4333,22.3316,1.64097,11.9806,18.7898,18.955,13.7018,3.6211,2.42891,4.61968,7.12988,21.1741,9.8694,17.7692,5.96388,4.67795,14.3904,7.97673,6.39312,217504_at,ABCA6,23460,-5.276711333,11.35152393,-1.042123174,0.306637497,0.833203735,-4.596166115,ABCA6,Abca6
28,ABCA7,60.3638,50.5445,87.8293,48.6996,52.5988,37.954,60.4783,53.3617,83.0804,46.2967,76.9034,52.8358,28.9584,54.4178,59.3038,70.5619,80.3761,46.0008,31.8047,52.6092,47.9373,53.7847,65.4324,43.7318,52.1421,21.2698,32.4204,38.0685,219577_s_at,ABCA7,10347,-14.60473067,53.20592857,-1.502892779,0.144525571,0.718514224,-4.501575484,ABCA7,Abca7
29,ABCA8,45.9165,76.4055,2.52765,1.25497,3.62904,7.92677,23.5778,4.2935,1.5915,21.7909,37.8873,1.73181,10.2596,9.74636,37.3715,89.9002,20.8182,15.6879,10.7233,8.86968,125.595,10.3768,19.2749,2.09238,1.77567,1.32759,6.22817,2.36265,204719_at,ABCA8,10351,-22.5728104,21.462255,-1.254886192,0.220321647,0.787408673,-4.555875577,ABCA8,Abca8b
1166,BPIFA1,4525.28,11325.4,118.166,288.153,80.7585,69.1278,641.268,468.13,64.4502,38.4631,1790.35,43.4201,115.572,113.584,2805.61,3056.43,89.6516,70.0687,60.9821,206.716,1081.45,3164.68,1060.93,152.401,78.2656,83.3907,75.016,63.7973,220542_s_at,BPIFA1,51297,-4692.442039,1133.268275,-4.258734158,0.000224223,0.113024481,-3.679438439,BPIFA1,Bpifa1
31,ABCB11,22.5107,13.3974,8.28736,16.5976,21.7775,15.9801,28.7464,15.2176,27.2943,23.0084,6.43779,17.3388,26.4543,20.9494,20.4104,23.1642,9.25672,7.17194,30.0975,14.9682,17.9145,22.0666,19.4004,5.01074,6.40922,4.44518,16.0262,17.7687,211224_s_at,ABCB11,8647,2.6246876,17.07529107,0.551101783,0.586116086,0.92978853,-4.663416131,ABCB11,Abcb11
10659,SLPI,4524.58,9337.05,530.703,326.113,144.873,812.259,1392.63,785.14,276.406,834.634,3134.19,77.7839,453.839,371.545,1322.44,2503.99,1645.44,97.4285,737.358,1044.59,6183.46,2189.58,2370.69,373.389,387.486,833.321,70.0043,93.3762,203021_at,SLPI,6590,-3658.965697,1530.510675,-3.412145831,0.002054357,0.23884315,-3.938995903,SLPI,Slpi
33,ABCB6,56.4419,16.8364,32.4266,104.331,48.7385,78.0582,64.0427,67.999,49.6071,59.7186,22.965,75.6226,73.1946,87.2102,50.7489,64.5835,7.08102,91.1099,61.2752,48.3599,28.7191,45.8326,35.911,44.1751,88.1161,61.6793,30.2787,49.2085,203192_at,ABCB6,10058,22.30768613,55.15254357,1.612689033,0.118492976,0.68126002,-4.475286382,ABCB6,Abcb6
34,ABCB7,62.4332,15.6726,78.5353,61.8863,60.9725,49.5972,60.5074,36.6135,52.5485,42.1366,83.3918,70.9892,54.95,51.4179,55.0875,72.5402,72.0703,75.2205,96.5632,59.0882,79.0876,87.6869,61.5989,44.3949,46.3854,39.4767,88.1219,40.6477,209620_s_at,ABCB7,22,9.505532,60.70078214,0.846207933,0.404907513,0.884984581,-4.627533765,ABCB7,Abcb7
35,ABCB8,31.4405,38.099,9.60348,15.5807,18.7016,16.5872,18.3555,23.5536,15.1454,31.3286,39.5878,33.7367,24.0407,38.4745,23.8802,30.5911,25.3143,12.862,24.8981,28.2323,30.5504,24.151,20.3615,39.6858,35.671,49.9675,21.0323,28.7937,207561_s_at,ABCB8,11194,0.462346667,26.79380286,0.076651434,0.939468546,0.993357471,-4.689958563,ABCB8,Abcb8
36,ABCB9,20.7364,7.22061,28.9534,35.7438,21.6183,36.1205,22.4021,25.8239,11.9579,10.1914,9.86155,16.3798,37.9695,20.5947,16.9833,2.20856,25.6154,6.63671,11.3173,7.3823,18.4506,19.0507,17.3242,16.8948,6.2487,33.588,12.4089,20.4139,214209_s_at,ABCB9,23457,-0.442663867,18.57490107,-0.071782017,0.943306836,0.993648666,-4.690023629,ABCB9,Abcb9
8513,PIP,874.794,9057.86,36.9497,30.477,23.9002,35.0518,226.646,43.7286,24.142,30.4382,206.259,2.91109,55.5419,10.4361,48.3715,595.567,54.6288,27.0297,18.3487,25.1244,5553.21,51.3077,259.967,22.7171,29.2681,8.69572,30.5131,13.3394,206509_at,PIP,5304,-3026.096429,621.3294218,-2.891642333,0.007499773,0.298623195,-4.103983882,PIP,Pip
38,ABCC10,121.229,91.1227,159.834,109.42,164.64,110.669,121.79,229.947,121.734,98.0888,111.148,148.286,128.881,174.542,124.711,114.824,93.8953,76.7722,103.938,96.2143,104.712,93.7033,131.207,133.061,79.4023,118.9,115.858,62.2389,213485_s_at,ABCC10,89845,-5.318576,119.3131714,-0.256904586,0.799208756,0.966189988,-4.684557268,ABCC10,Abcc10
39,ABCC2,1.94742,7.64222,4.0171,5.66669,4.79201,1.846,5.11728,2.11874,11.7795,4.30839,2.30457,4.57176,5.16891,5.20853,12.7127,14.6671,5.70963,1.85964,6.53127,27.1746,6.30927,27.1081,3.6864,1.88859,3.25609,5.72876,5.581,2.3289,206155_at,ABCC2,1244,2.5613972,6.822541786,0.596165735,0.556052202,0.921293269,-4.658862797,ABCC2,Abcc2
40,ABCC3,53.8908,7.61708,19.3388,5.56433,72.7922,17.0497,16.1476,5.50833,28.5233,5.31905,36.9535,36.5042,45.5351,8.89319,49.6377,23.6683,6.91913,10.3157,9.53274,42.5745,48.325,25.9533,52.8842,26.8814,7.83406,30.3313,21.195,6.02689,208161_s_at,ABCC3,8714,-1.314104533,25.77558571,-0.113867444,0.910189133,0.989568746,-4.689320453,ABCC3,Abcc3
41,ABCC4,82.505,30.5467,51.9716,110.939,119.666,66.0271,62.051,103.812,41.5283,86.3076,54.3539,84.7976,113.361,80.9357,178.992,81.2248,49.9366,65.2294,36.4039,86.453,39.0802,58.9148,50.5968,70.6907,86.5716,76.6263,85.504,53.0059,203196_at,ABCC4,10257,22.71260133,75.286875,1.216649818,0.234313082,0.794317306,-4.563567173,ABCC4,Abcc4
42,ABCC5,170.404,115.281,95.1658,177.06,178.432,101.657,113.56,377.727,87.9272,191.986,114.718,331.308,140.467,694.336,227.697,159.249,119.442,194.198,180.83,166.671,148.63,212.188,152.128,307.876,183.487,213.673,372.854,173.189,209380_s_at,ABCC5,10057,85.90134133,203.6478929,1.164086514,0.254617784,0.807942496,-4.573824933,ABCC5,Abcc5
43,ABCC8,6.21372,7.0196,5.02399,3.30825,8.20993,5.84924,4.89471,3.9914,6.20252,6.32578,4.01634,3.82992,3.59149,3.56334,3.60897,5.32169,6.2136,10.898,8.27967,4.33523,5.89431,5.84104,7.87356,8.0888,5.12718,8.39228,11.0542,5.16891,210246_s_at,ABCC8,6833,-0.0905556,6.004916786,-0.044501484,0.964833629,0.994669966,-4.690309237,ABCC8,Abcc8
44,ABCC9,29.1145,52.5341,17.9304,29.4262,27.9394,23.3261,20.1195,35.4151,19.3705,34.5044,36.8233,28.5887,24.5364,41.5605,30.7276,21.9321,46.0061,36.5517,15.4224,37.402,22.1159,27.9399,28.0395,35.1,22.7541,46.4198,34.8662,16.788,208462_s_at,ABCC9,10060,-3.445984,30.11622857,-0.576615091,0.568997285,0.925318437,-4.660880204,ABCC9,Abcc9
45,ABCD1,70.274,67.6315,96.9097,87.332,85.0414,65.8314,49.9684,56.6767,88.6587,48.1758,66.2971,43.9886,59.774,83.9714,64.5532,74.6395,103.732,20.5042,93.6463,114.782,52.7032,68.2127,74.5696,60.6144,82.5701,38.931,41.6736,60.0952,205142_x_at,ABCD1,215,-10.79403333,68.63420357,-0.831918756,0.412784932,0.888303544,-4.629593485,ABCD1,Abcd1
46,ABCD2,16.4609,3.81708,13.2865,15.153,19.6025,11.2499,6.87158,7.49723,19.7101,11.2652,20.4489,13.8861,12.9668,16.4628,13.2214,17.2295,13.7066,3.11613,26.3915,22.5078,22.6822,25.599,14.4206,13.1493,21.2496,4.43196,16.9112,12.059,207583_at,ABCD2,225,4.083436,14.834085,1.012811963,0.320180637,0.842860666,-4.601221221,ABCD2,Abcd2
47,ABCD3,254.435,199.275,105.087,110.011,120.316,132.424,151.795,148.439,30.9954,174.665,169.438,144.33,306.115,155.049,225.994,156.353,128.724,44.006,133.587,100.061,317.641,170.619,164.689,149.395,79.7734,174.799,57.8831,84.5464,202850_at,ABCD3,5825,-40.99973467,149.6587607,-1.001252729,0.325633563,0.845617492,-4.603180474,ABCD3,Abcd3
48,ABCD4,81.2185,45.392,66.1161,91.4643,56.2638,42.5142,43.1816,39.7332,37.1388,59.7014,50.1899,57.0749,44.6058,37.4651,54.0598,68.8794,43.2883,38.8518,22.8099,32.0629,44.8322,30.9731,57.1182,23.5118,44.1991,72.828,34.2984,62.3766,203981_s_at,ABCD4,5826,-16.6653,49.36246786,-1.709718353,0.098839733,0.653932806,-4.451020265,ABCD4,Abcd4
49,ABCE1,188.301,111.751,140.064,236.321,224.362,177.388,198.717,169.623,119.195,337.739,159.832,234.828,328.228,246.596,202.382,183.47,114.038,237.564,334.924,132.696,179.162,230.279,200.518,382.635,210.975,159.661,348.946,271.967,201872_s_at,ABCE1,6059,78.17650667,216.5057857,1.814688576,0.080747816,0.6248059,-4.423760761,ABCE1,Abce1
50,ABCF1,270.891,223.785,411.566,326.849,331.123,295.286,280.194,290.67,295.635,299.596,258.549,253.845,305.27,373.244,191.922,270.198,292.742,420.127,352.52,298.768,218.9,279.56,227.735,316.261,332.348,345.162,356.169,284.816,200045_at,ABCF1,23,-2.181106667,300.13325,-0.065643953,0.948147101,0.994065247,-4.690099568,ABCF1,Abcf1
51,ABCF2,156.008,137.631,155.554,168.417,152.245,192.759,135.345,103.217,99.3035,329.676,108.639,144.511,288.136,179.768,137.836,158.182,136.514,164.984,184.013,155.861,105.126,110.798,155.311,120.203,196.313,164.886,338.521,289.605,209247_s_at,ABCF2,10061,23.07578,170.334375,0.584527551,0.563739906,0.923354935,-4.660071456,ABCF2,Abcf2
52,ABCF3,87.8683,160.201,123.831,74.2389,90.6208,107.461,98.3227,99.5948,91.4065,79.4529,101.588,145.495,72.5643,98.6473,105.091,99.6525,126.214,99.1009,104.114,154.324,83.7202,107.545,101.6,114.503,77.0241,126.165,148.662,114.35,202394_s_at,ABCF3,55324,-19.10845067,106.90565,-1.353898139,0.187043767,0.757660281,-4.535089489,ABCF3,Abcf3
53,ABCG1,50.2715,104.003,68.7827,121.48,92.9431,89.3333,96.2401,106.14,168.557,83.2936,97.2224,85.8929,69.6438,119.234,147.352,91.3175,102.055,90.8233,59.2848,148.004,77.8691,111.536,70.6512,81.3935,77.864,123.493,77.3681,93.1378,211113_s_at,ABCG1,9619,24.93278,96.61381071,1.550789394,0.132647725,0.700256977,-4.490266104,ABCG1,Abcg1
54,ABCG2,73.8486,38.3284,24.672,38.1388,55.2855,27.4117,48.7403,20.5858,37.0418,36.752,57.0046,30.8448,24.208,24.2556,64.5169,96.9135,49.5674,30.315,51.9607,37.4722,52.1351,52.4847,52.7498,45.8241,33.6509,34.176,36.1725,26.6673,209735_at,ABCG2,9429,-3.021333333,42.91871429,-0.286993328,0.776318208,0.960136358,-4.683090907,ABCG2,Abcg2
55,ABCG4,26.9283,53.9348,33.6253,47.3734,24.6352,28.2807,24.8526,18.2549,34.7812,8.68139,34.7762,5.78877,21.3328,34.9599,33.5334,45.4129,36.0523,37.6222,32.9597,59.1548,31.4086,48.8664,53.0328,41.4533,76.6551,60.1179,58.6059,59.0033,207593_at,ABCG4,64137,0.1410264,38.28871643,0.013816116,0.989078724,0.998219982,-4.690470378,ABCG4,Abcg4
56,ABCG5,4.47434,10.8859,16.9958,0.977137,1.196,1.32677,15.0466,12.0567,1.2815,7.24478,7.60694,13.8118,1.5597,1.71317,1.70418,3.33524,3.46216,20.0212,2.14769,4.94238,6.6591,7.57087,0.651319,2.31864,11.2478,10.5563,1.46675,1.35907,220383_at,ABCG5,64240,-5.134794827,6.200708429,-1.414404816,0.168722811,0.73553039,-4.521792784,ABCG5,Abcg5
57,ABHD10,241.135,329.175,157.715,174.408,235.429,177.727,260.798,214.226,109.234,230.28,152.105,240.675,183.382,413.049,172.392,154.681,90.5697,192.147,154.782,86.7523,206.124,174.83,231.404,204.187,141.479,179.585,184.742,225.552,218633_x_at,ABHD10,55347,-51.0534,197.0916071,-1.281189627,0.211070497,0.777611179,-4.550474383,ABHD10,Abhd10
58,ABHD11,122.203,135.219,106.018,130.453,229.137,134.449,106.853,99.02,58.2745,370.237,131.806,249.466,246.185,95.0986,125.499,101.748,151.09,221.619,116.001,130.81,135.805,162.15,153.822,116.795,189.635,156.405,261.452,136.314,221927_s_at,ABHD11,83451,39.25829733,156.1987179,0.986918148,0.332483888,0.848318813,-4.605582985,ABHD11,Abhd11
4697,HBB,4107.26,9458.5,3322.32,2749.26,3438.21,2505.6,5247.67,5296.09,3612.71,743.83,1950.45,589.624,4171.81,336.729,1212.54,5122.76,5501.14,1419.85,3958.1,2541.04,5602.07,1302.45,3629.4,795.533,1419.85,1394.82,2504.72,1086.82,211696_x_at,HBB,3043,-2904.03696,3036.469857,-2.547639394,0.016881474,0.396426335,-4.211541804,HBB,Hbb-bs
6451,LTF,2584.49,7380.45,382.227,64.6341,2.7829,41.591,1837.5,4.8851,5.75413,3.66837,1338.05,2.47994,2377.91,16.2761,359.033,2501.46,6.65307,3.16089,3.50875,31.5272,4643.94,65.4351,1799.22,4.27809,1.9534,7.09757,4.16541,2.35006,202018_s_at,LTF,4057,-2843.883099,909.8743279,-3.155631733,0.003922836,0.261812287,-4.020282995,LTF,Ltf
62,ABHD17B,68.8619,79.8196,42.3823,47.2229,48.3814,46.426,39.0374,47.3683,65.6267,35.2737,67.6034,75.2879,68.5569,85.356,79.0538,63.8539,67.5,22.2176,36.5294,20.225,81.6143,81.4831,48.8113,72.1757,55.5258,46.2187,39.5215,37.2955,220285_at,ABHD17B,51104,-8.561285333,56.04392857,-0.749255903,0.460210344,0.900834969,-4.640878436,ABHD17B,Abhd17b
63,ABHD18,26.275,43.6907,32.3384,57.2042,59.2502,13.9718,29.6024,33.8395,62.8175,49.0642,22.105,61.4898,37.5268,63.5965,58.2321,24.7552,33.3355,32.9393,45.5394,40.3254,37.978,26.2154,41.8455,41.7674,44.6124,51.1681,24.1667,36.0973,219980_at,ABHD18,80167,7.076457333,40.41963214,0.845683885,0.405194725,0.884984581,-4.627609866,ABHD18,Abhd18
64,ABHD2,73.2738,122.853,62.0902,90.251,94.3518,86.265,70.4725,115.872,109.457,69.6612,105.927,75.4268,121.054,76.3436,141.147,86.5722,102.76,47.0805,81.4416,53.336,63.4369,81.7236,96.7954,146.048,168.08,104.638,102.249,101.959,205566_at,ABHD2,11057,9.621630667,94.663075,0.555898746,0.582878232,0.929483242,-4.662947721,ABHD2,Abhd2
65,ABHD3,106.625,41.4482,109.889,76.9654,183.413,110.367,117.984,130.008,97.4263,114.242,64.4352,93.1832,59.4065,101.939,129.615,77.3283,45.3563,69.2971,93.3059,120.408,84.3418,147.637,139.328,65.6872,45.5365,51.5477,40.9533,125.421,213017_at,ABHD3,171586,9.417908,94.39624643,0.4265995,0.673068402,0.942448109,-4.6741995,ABHD3,Abhd3
66,ABHD4,99.4462,119.146,122.677,174.479,129.774,167.721,101.901,126.537,133.538,106.289,144.072,145.242,106.156,96.6397,155.357,155.69,189.689,190.125,179.768,208.818,120.467,113.358,191.343,148.115,136.573,255.923,166.432,184.047,218581_at,ABHD4,63874,39.365748,148.9043893,1.765548419,0.088830718,0.635206131,-4.436646811,ABHD4,Abhd4
67,ABHD5,59.2835,86.6528,42.4535,46.5037,38.8864,61.7847,40.3647,68.3875,59.1825,52.9989,51.6483,66.8789,74.3182,63.6346,55.32,51.3766,92.2589,55.2552,54.5802,108.456,67.702,56.4525,59.3728,58.5956,40.9119,84.7925,69.7088,46.5274,218739_at,ABHD5,51099,-1.760648,61.22459286,-0.172670951,0.864203694,0.979924555,-4.687805285,ABHD5,Abhd5
10051,SCGB1A1,3669.21,4247.34,114.005,10.3553,219.808,55.9958,1085.85,2.93221,55.8383,13.6938,2023.39,18.2231,32.7622,3.51539,84.0277,168.6,66.1525,2.84798,24.0555,76.7353,1396.99,2109.29,1456.61,47.2151,33.4954,28.9376,32.2222,34.9985,205725_at,SCGB1A1,7356,-2313.469991,611.25346,-4.322641313,0.000189105,0.10770739,-3.660721008,SCGB1A1,Scgb1a1
69,ABHD8,18.7396,11.592,39.989,26.1767,17.9913,36.7881,30.6923,4.44497,6.9672,9.89773,6.84291,33.3333,5.26889,8.78067,5.6935,4.63905,8.7529,47.0885,1.63052,6.07921,9.13687,6.37859,4.67249,5.89375,5.56615,6.13164,16.9488,12.4227,219101_x_at,ABHD8,79575,-10.3114504,14.23354786,-1.363391016,0.184070683,0.754482462,-4.533032547,ABHD8,Abhd8
