,Row.names,Normal1,Normal2,Normal3,NPC1,NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,NPC8,NPC9,NPC10,NPC11,NPC12,NPC13,NPC14,NPC15,NPC16,NPC17,NPC18,NPC19,NPC20,NPC21,NPC22,NPC23,NPC24,NPC25,array_ID,Gene_symbol,gene_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol,mouse_symbol
1918,CENPB,53.0585,91.6973,50.9942,62.0532,54.837,60.0652,53.0928,51.3771,54.8407,56.4625,50.2593,48.1083,34.6677,69.1724,61.4702,49.3052,55.8102,51.2575,45.0193,53.8188,23.1043,64.2113,41.4451,64.8488,90.3052,66.8821,63.2138,51.4451,212437_at,CENPB,1059,-10.167076,56.17225357,-1.214014799,0.235301266,0.794317306,-4.564090167,CENPB,Cenpb
1920,CENPC,52.72,54.0528,52.2544,31.7407,35.2477,42.3564,47.1662,47.7512,53.8595,32.6819,23.6931,47.6832,21.8542,50.141,63.5527,51.9748,30.206,7.86863,50.1881,42.1232,52.997,40.7379,65.5384,57.7107,31.0189,55.6508,43.6739,63.3429,204739_at,CENPC,1060,-9.378705467,44.6352225,-1.123612058,0.271113005,0.811862174,-4.581468688,CENPC,Cenpc1
1921,CENPE,27.4684,9.41188,17.9677,49.1136,43.8985,11.7994,3.37945,31.815,46.1486,51.999,4.3813,93.4261,30.6414,54.9174,28.4788,5.92174,19.276,20.9905,32.1085,19.7164,2.85361,7.97962,26.4012,43.8983,47.292,5.59187,46.9041,43.9424,205046_at,CENPE,1062,12.6323316,29.5615275,0.992657979,0.329729168,0.847595939,-4.604624595,CENPE,Cenpe
9105,PSMB10,314.336,82.6078,612.84,236.555,275.014,352.384,384.054,168.116,290.397,144.465,228.879,147.852,218.224,98,236.809,199.798,237.637,209.946,153.579,228.837,161.562,260.743,281.716,128.296,212.015,110.949,129.473,161.331,202659_at,PSMB10,5699,-126.32936,223.8005286,-2.074991579,0.047686867,0.541891061,-4.352211473,PSMB10,Psmb10
1923,CENPI,24.1065,7.66072,17.6606,20.9898,46.7479,22.247,12.3258,25.3798,25.0731,22.4207,24.5499,36.6928,19.8548,24.5088,8.85482,18.7363,12.6346,18.066,36.2408,10.082,10.4302,17.7555,20.5038,31.085,17.0621,30.1188,11.0973,26.7197,207590_s_at,CENPI,2491,5.5311528,21.41446929,0.962492499,0.344381693,0.855207279,-4.609607034,CENPI,Cenpi
1924,CENPJ,29.6794,28.8558,9.25811,30.1245,33.9225,20.0604,18.5179,24.1853,37.8943,28.5411,25.8068,34.1726,29.6171,50.7585,17.6944,28.2663,25.0682,32.4032,30.4158,32.9742,28.8297,37.7072,27.1394,38.9196,36.7797,39.415,39.8416,38.8641,220885_s_at,CENPJ,55835,8.919006,30.56116821,1.758772802,0.089997559,0.636866362,-4.438406571,CENPJ,Cenpj
1925,CENPM,60.3985,5.264,40.4278,73.6019,96.6719,70.5506,57.4996,48.3754,65.736,77.9911,34.6499,38.4752,44.896,139.154,46.7228,33.9226,49.1218,96.7,78.2562,44.3137,28.292,72.7482,45.0644,61.77,98.444,66.4716,149.008,60.8655,218741_at,CENPM,79019,31.80866267,63.764025,1.744822518,0.092441031,0.641379447,-4.442016486,CENPM,Cenpm
1926,CENPN,9.41743,3.60482,7.06697,31.3539,156.75,52.7954,9.90996,8.92332,48.5705,15.247,5.55823,58.8733,37.885,29.1142,3.5107,9.90522,7.0645,87.5837,132.967,10.9713,2.32751,3.72087,13.8907,23.1667,33.9599,6.88863,80.5295,50.7501,219555_s_at,CENPN,55839,30.19227893,33.65379857,1.285616019,0.209543284,0.777611179,-4.549556756,CENPN,Cenpn
1927,CENPO,32.2857,28.3583,32.219,45.2624,25.3847,21.2471,19.5154,19.7334,20.7951,33.0934,55.0213,34.1262,25.483,31.8321,29.0217,45.1256,29.2315,44.6304,21.8183,40.8072,26.0254,42.1357,22.1914,21.4365,26.9138,30.4865,50.8984,40.4642,219472_at,CENPO,79172,1.152894667,31.98370357,0.182690061,0.856412163,0.978270017,-4.687485342,CENPO,Cenpo
1928,CENPQ,20.3694,21.8557,14.8557,23.7456,23.2001,21.8098,23.7401,23.759,12.9337,23.6846,13.4055,17.0843,13.1389,20.6771,28.626,22.4564,16.7462,17.7946,66.5842,15.7504,19.7519,34.9105,18.771,21.0029,22.4436,27.7246,27.6278,27.0827,219294_at,CENPQ,55166,4.351126667,22.91186786,0.694888607,0.493088712,0.908895471,-4.647704712,CENPQ,Cenpq
1929,CENPT,48.4559,58.2484,66.5104,94.3038,65.7056,55.3792,51.1393,67.0077,67.5703,46.2035,71.1452,60.3452,46.3331,50.6655,63.1359,64.5293,121.925,30.5171,61.3357,34.6117,69.2149,36.2461,54.576,53.0467,56.3336,66.1437,48.788,72.7047,218148_at,CENPT,80152,2.618038667,60.07576786,0.236947874,0.814493801,0.970517445,-4.685441144,CENPT,Cenpt
8406,PGM1,215.752,486.33,168.049,178.994,100.532,217.751,201.822,206.17,272.163,172.705,134.298,141.682,150.228,221.875,238.753,124.084,142.708,96.0121,110.553,194.121,165.976,101.846,204.392,130.109,132.053,254.544,104.632,99.184,201968_s_at,PGM1,5236,-126.1561827,177.4042179,-3.018468497,0.005506878,0.29168952,-4.06382226,PGM1,Pgm2
1931,CEP104,51.9026,87.9755,34.124,27.9397,14.575,55.1212,35.559,44.2867,34.8173,58.7704,62.082,39.5853,55.3618,79.114,56.2751,53.4616,62.1275,10.5673,42.655,85.7726,38.2908,49.5665,59.8613,76.8494,63.3148,98.5023,115.865,53.0819,204074_s_at,CEP104,9731,-3.06456,55.26448571,-0.209248537,0.835832,0.973567986,-4.68655039,CEP104,Cep104
2493,CSK,266.91,152.881,579.129,179.152,285.288,222.262,274.045,163.922,231.307,140.032,301.246,203.612,166.118,207.171,252.042,298.412,190.987,143.969,144.405,193.128,223.194,309.373,268.211,164.698,304.579,101.275,71.1603,136.396,202329_at,CSK,1445,-125.9339613,220.5322964,-2.355273008,0.02606475,0.443816664,-4.270112459,CSK,Csk
1933,CEP131,20.4775,20.6307,30.4394,9.8319,32.8804,17.8254,8.71555,6.61175,22.1102,20.5417,6.67442,26.8689,12.308,18.1441,12.9947,31.134,3.60984,26.2792,38.3503,6.93853,6.08084,18.3363,9.91557,23.5286,2.8287,15.6476,34.4991,12.1107,214742_at,CEP131,22994,-6.858548,17.72549643,-1.104508208,0.279162187,0.814198755,-4.584998051,CEP131,Cep131
1934,CEP135,61.2815,26.2223,59.2672,161.412,119.837,71.6575,54.8294,85.4903,87.3628,205.138,92.7683,125.968,161.532,66.8961,106.821,59.8445,66.2389,66.2454,168.524,59.9385,41.3758,72.8894,66.7028,74.03,90.5212,66.9766,197.12,118.836,206003_at,CEP135,9662,50.63455333,94.13308929,1.881364548,0.070795158,0.60124132,-4.405941697,CEP135,Cep135
1935,CEP152,15.5649,6.53964,36.3311,44.175,33.3185,11.2936,13.2794,23.3118,33.4969,32.6912,25.1807,48.0135,18.4423,102.491,30.5444,54.0876,29.4081,21.3181,27.8693,26.5568,28.3175,32.063,13.4297,31.2919,22.1467,23.7445,43.0604,20.6718,215170_s_at,CEP152,22995,12.12960133,30.30854786,1.113879197,0.275192609,0.812551725,-4.583273136,CEP152,Cep152
1936,CEP162,52.1021,28.8895,46.0893,56.0205,61.0891,31.2013,53.7475,31.7814,40.0129,63.2342,44.2417,63.3093,43.1713,62.3099,47.7147,49.229,53.5064,23.7378,107.773,42.9733,55.3407,34.8593,41.8277,39.6947,19.932,86.0696,54.7973,47.5492,206006_s_at,CEP162,22832,7.844652,49.36445357,0.710769806,0.483349177,0.907074668,-4.64576019,CEP162,Cep162
1937,CEP164,63.2012,61.6553,75.2628,62.1095,60.3765,46.6688,65.5436,44.183,51.6224,86.2889,45.0258,68.7944,51.1158,45.2355,51.0494,61.9774,66.3922,53.5313,99.0858,65.3382,45.3327,44.7109,67.3354,91.3703,57.2468,133.584,59.1022,60.2187,204251_s_at,CEP164,22897,-3.376853333,63.69138571,-0.280041282,0.781589734,0.960490199,-4.683443975,CEP164,Cep164
1938,CEP170B,106.364,193.716,149.969,151.135,97.2502,105.426,100.507,160.844,91.0162,166.581,170.181,167.637,107.922,145.334,136.326,134.337,196.19,88.6779,139.5,176.112,108.314,87.8775,103.893,126.104,176.846,191.832,113.657,148.879,213242_x_at,CEP170B,283638,-14.32118133,137.2295643,-0.682662586,0.500661708,0.908895471,-4.649173675,CEP170B,Cep170b
1940,CEP192,67.6764,27.6249,75.9489,82.6529,113.116,56.8292,82.2412,80.4091,63.1014,111.662,80.2229,90.2422,195.737,162.82,85.3722,81.8032,46.7962,63.3636,83.0308,80.3407,79.0139,85.9379,93.6773,110.479,57.5358,90.2032,225.287,192.219,218827_s_at,CEP192,55125,42.680348,95.19085357,1.589265712,0.123695007,0.685160502,-4.481002099,CEP192,Cep192
1941,CEP250,97.7513,98.5212,103.766,117.969,121.518,67.3565,63.7214,103.488,93.3901,86.0898,139.813,98.3946,76.6845,111.844,107.128,114.523,90.2707,66.9713,106.942,106.113,91.2837,62.3424,93.2568,115.741,105.038,125.69,127.668,93.3264,209495_at,CEP250,11190,-0.550305333,99.52148929,-0.045146168,0.964324537,0.994669966,-4.690304033,CEP250,Cep250
1942,CEP290,29.2273,23.9105,22.1748,55.3931,35.3069,17.9415,17.5447,42.2099,16.5982,57.8638,37.3479,26.1349,31.8602,72.7565,35.3149,37.105,22.6956,20.6582,75.0212,18.881,43.9224,34.3554,22.7826,52.7809,20.6889,32.6791,99.3339,33.9541,205250_s_at,CEP290,80184,13.341032,37.01583571,1.106160855,0.278459148,0.814198755,-4.584694738,CEP290,Cep290
1943,CEP295,2.1788,3.18757,0.573139,2.48208,1.43632,1.31424,0.980318,3.47339,1.24669,0.918532,1.12305,15.0083,1.9268,7.66601,2.23603,1.86906,3.22479,17.9502,1.02965,1.73907,1.90556,9.70497,2.46849,2.15318,1.71268,10.2138,2.07495,1.33198,215018_at,CEP295,85459,1.907769267,3.68320175,0.617855503,0.541870514,0.919826954,-4.65654978,CEP295,Cep295
1944,CEP350,223.651,129.402,227.494,285.018,303.091,142.21,204.461,186.376,189.151,172.016,188.516,265.998,311.6,167.367,219.076,225.23,173.354,97.8139,158.868,196.832,264.829,196.268,189.369,151.095,171.883,184.26,169.323,144.882,213165_at,CEP350,9857,4.839809333,197.836925,0.152848291,0.879659549,0.98216091,-4.688385328,CEP350,Cep350
1945,CEP41,14.1011,74.6609,23.0961,30.3543,38.3092,2.96533,7.93444,9.18791,13.3381,51.9971,41.9855,21.1369,13.5633,23.462,4.25516,37.1693,33.9256,7.9766,57.5223,45.2406,34.6538,27.4574,32.59,42.3171,51.7369,24.7041,61.0627,55.5599,215637_at,CEP41,95681,-6.469811733,31.50941571,-0.553848431,0.584261075,0.929543213,-4.663148405,CEP41,Cep41
11086,STAP1,140.263,38.8202,419.978,30.4419,14.1168,57.5554,296.22,54.4183,56.8118,16.2788,230.975,19.642,19.6565,19.2881,76.481,126.211,69.7671,2.41259,3.44317,24.9417,85.4335,271.05,240.087,38.0112,29.8629,31.7335,3.37927,30.8051,220059_at,STAP1,26228,-125.7261215,87.43160107,-2.074344785,0.047751352,0.541891061,-4.352395453,STAP1,Stap1
1947,CEP57,105.115,66.2209,104.234,83.4795,132.937,92.1845,130.056,97.164,115.241,72.3871,115.666,90.1697,93.4036,146.844,101.259,137.395,84.6639,78.8519,152.542,47.5665,146.077,139.996,115.758,94.0598,55.0853,123.121,68.7118,76.4009,203492_x_at,CEP57,9702,11.78418667,102.3782286,0.66771265,0.510009831,0.910607712,-4.650936664,CEP57,Cep57
1948,CEP63,80.6138,33.5121,51.4213,48.6052,47.5203,54.4671,67.7164,70.9046,35.6302,39.0313,73.4399,41.1138,44.7573,66.6086,74.5467,64.6065,56.2327,42.9627,27.1107,20.9695,56.7468,46.0871,65.4755,32.6069,45.6837,26.0123,38.0047,46.8724,219242_at,CEP63,80254,-5.833884,49.973575,-0.593432059,0.557853091,0.921293269,-4.659148737,CEP63,Cep63
1949,CEP68,118.843,39.53,83.5917,226.887,89.6933,95.1065,133.161,66.6331,52.9779,58.6754,117.504,95.4391,90.8524,83.6931,95.8411,95.8378,123.16,86.4314,68.2371,122.258,173.399,49.6035,64.1446,58.1059,78.0831,39.4812,26.8623,58.4685,212675_s_at,CEP68,23177,9.366552,89.01789286,0.361514898,0.720540871,0.952078079,-4.678770092,CEP68,Cep68
1950,CEP70,53.9735,30.6095,42.8054,101.099,45.3698,50.3066,44.5871,68.3228,33.5176,39.9253,36.4065,89.6145,36.863,71.8995,52.7899,42.6127,73.0206,94.7347,112.222,45.2169,52.3273,116.573,39.5263,77.9593,59.4042,38.3481,104.55,79.1309,219036_at,CEP70,80321,21.790304,61.91842857,1.417410432,0.167851146,0.734536215,-4.521120909,CEP70,Cep70
1951,CEP72,37.0946,13.3162,25.3675,43.9933,56.0061,52.914,46.5593,43.8289,41.4293,42.9596,56.033,78.1903,17.57,78.2819,34.0673,28.3221,28.0725,31.7461,8.05926,11.0869,37.7786,41.1629,44.9093,32.31,8.30376,6.88596,64.1478,38.8266,219531_at,CEP72,55722,13.67835787,37.47225286,1.18218258,0.247486018,0.802946881,-4.570335273,CEP72,Cep72
1952,CEP76,23.606,24.0333,16.9446,38.4893,30.3212,28.2887,25.5239,30.8829,22.6063,59.2583,21.111,57.1239,35.777,40.1389,42.2916,22.9971,35.3809,34.5134,63.4877,6.60608,23.7703,24.448,20.5214,36.5011,23.7099,24.9131,33.6391,41.2255,52285_f_at,CEP76,79959,11.41309653,31.71823143,1.48082728,0.150280334,0.721764868,-4.506700354,CEP76,Cep76
